Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Source,EID
"Lopatovska I., Carcamo T., Dease N., Jonas E., Kot S., Pamperien G., Volpe A., Yalcin K.","Not just a pretty picture part two: Testing a visual literacy program for young children",2018,"Journal of Documentation",,,,"","",,,10.1108/JD-08-2017-0119,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040221845&doi=10.1108%2fJD-08-2017-0119&partnerID=40&md5=f297828bd7e204da2b5dff1b88e4dd2a","Purpose – In an effort to advance visual literacy (VL) education, the purpose of this paper is to develop and test a VL instruction program for 2.5-4-year-old children in a public library setting. Design/methodology/approach – The study was designed as a series of VL workshops for young public library visitors. Each workshop collected information about children's existing VL knowledge, introduced them to new visual concepts, and measured their engagement and comprehension of the newly acquired material. The study data were collected via questionnaires and observations. Findings – Most of the children who participated in the study workshops showed a solid baseline knowledge of colors, lines, shapes and textures and were actively engaged in instruction. After the instruction, children generally showed an improved understanding of the newly introduced VL concepts and were able to answer questions related to the new concepts, recognize them in images, and apply them in art projects. Research limitations/implications – The study relied on a relatively small sample of library visitors in an affluent neighborhood. The findings are influenced by variations in the topics and delivery methods of instruction. The study findings might not be generalizable beyond the US context. Practical implications – The study methods and findings would be useful to VL educators who work with children. Social implications – As information continues to proliferate in non-textual contexts, VL is becoming an increasingly important educational goal. The study advances a VL agenda and advocates for introducing VL early in life. Originality/value – The authors are not aware of any other study that tested VL instruction on a group of very young children in a public library. © 2018 Emerald Publishing Limited.",Article in Press,Scopus,2-s2.0-85040221845
"Bentwich M.E., Gilbey P.","More than visual literacy: Art and the enhancement of tolerance for ambiguity and empathy",2017,"BMC Medical Education","17","1", 200,"","",,,10.1186/s12909-017-1028-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033601373&doi=10.1186%2fs12909-017-1028-7&partnerID=40&md5=5439cbba48e31707bc6d124b1dbaab05","Background: Comfort with ambiguity, mostly associated with the acceptance of multiple meanings, is a core characteristic of successful clinicians. Yet past studies indicate that medical students and junior physicians feel uncomfortable with ambiguity. Visual Thinking Strategies (VTS) is a pedagogic approach involving discussions of art works and deciphering the different possible meanings entailed in them. However, the contribution of art to the possible enhancement of the tolerance for ambiguity among medical students has not yet been adequately investigated. We aimed to offer a novel perspective on the effect of art, as it is experienced through VTS, on medical students' tolerance of ambiguity and its possible relation to empathy. Methods: Quantitative method utilizing a short survey administered after an interactive VTS session conducted within mandatory medical humanities course for first-year medical students. The intervention consisted of a 90-min session in the form of a combined lecture and interactive discussions about art images. The VTS session and survey were filled by 67 students in two consecutive rounds of first-year students. Results.: 67% of the respondents thought that the intervention contributed to their acceptance of multiple possible meanings, 52% thought their visual observation ability was enhanced and 34% thought that their ability to feel the sufferings of other was being enhanced. Statistically significant moderate-to-high correlations were found between the contribution to ambiguity tolerance and contribution to empathy (0.528-0.744; p ≤ 0.01). Conclusions: Art may contribute especially to the development of medical students' tolerance of ambiguity, also related to the enhancement of empathy. The potential contribution of visual art works used in VTS to the enhancement of tolerance for ambiguity and empathy is explained based on relevant literature regarding the embeddedness of ambiguity within art works, coupled with reference to John Dewey's theory of learning. Given the situational nature of the tolerance for ambiguity in this context, VTS provides a path for enhancing ambiguity tolerance that is less conditioned by character traits. Moreover, the modest form of VTS we utilized, not requesting a significant alteration in the pre-clinical curricula, suggests that enhancing the tolerance of ambiguity and empathy among medical students may be particularly feasible. © 2017 The Author(s).",Article,Scopus,2-s2.0-85033601373
"Tranter K.","Law, the Digital and Time: The Legal Emblems of Doctor Who",2017,"International Journal for the Semiotics of Law","30","3",,"515","532",,,10.1007/s11196-017-9522-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027700334&doi=10.1007%2fs11196-017-9522-0&partnerID=40&md5=f6061f43d4f95967f209b7f3e15473ab","This article is about time. It is about time, or more precisely, about the absence of time in law’s digital future. It is also about time travelling and the seemingly ever-popular BBC science fiction television series Doctor Who. Further, it is about law’s timefullness; about law’s pictorial past and the ‘visual baroque’ of its chronological fused future. Ultimately, it is about a time paradox of seeing time run to a time when time runs ‘No More!’ This ‘timey-wimey’ article is in three parts. The first part looks to a hazy remembered past of the legal emblem tradition as presented in Peter Goodrich’s Legal Emblems and the Art of Law to learn visual literacy and also to glimpse the essential elements of modern legality with authority, decision and violence. The second part maps how these images and icons of modern legality are manifest in the Doctor Who fiftieth year anniversary special ‘The Day of the Doctor.’ The third stage looks beyond these first order meanings to understand the chronological chaos of ‘The Day of the Doctor.’ The technicity of the image as a portal through time and space that the narrative revolves around charts the implications for the digital end of time for law. © 2017, Springer Science+Business Media B.V.",Article,Scopus,2-s2.0-85027700334
"Katz R.A.","All about image: Development of visual literacy through american dating apps",2017,"Virtual Reality - Real Visuality: Virtual, Visual, Veridical",,,,"131","140",,,10.3726/b11592,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034406076&doi=10.3726%2fb11592&partnerID=40&md5=c848bececb015779e1cf5ffd37513a8d",[No abstract available],Book Chapter,Scopus,2-s2.0-85034406076
"Bowen T.","Assessing visual literacy: a case study of developing a rubric for identifying and applying criteria to undergraduate student learning",2017,"Teaching in Higher Education","22","6",,"705","719",,,10.1080/13562517.2017.1289507,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011856693&doi=10.1080%2f13562517.2017.1289507&partnerID=40&md5=2c727321a7af1f5caf93a79043a122aa","Higher education has traditionally privileged language-based text as evidence of students’ levels of critical thinking and literacy. Twenty-first century education at all levels however, has focused on multimodal literacies and how educators can engage students who are seeing the world through diverse representations and a myriad of forms. Many scholars maintain that we live in a visual culture where we are becoming increasingly proficient at reading images of all kinds. However, our criteria for assessing student learning and measures of assessment have not moved much beyond the traditional written texts outside art and design disciplines. While much has been written about the role of visual literacy, there is little research on assessing visual literacy competencies. This paper proposes a Visual Literacy Competency (VLC) rubric based on the Biggs and Collis (1982. Evaluating the Quality of Learning: The SOLO Taxonomy (Structure of the Observed Learning Outcome). New York: Academic Press) SOLO taxonomy and describes applications for assessing assignments in two undergraduate communications courses with a focus on further developing and shaping student learning. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Article,Scopus,2-s2.0-85011856693
"Bulman J.H.","Children's reading of film and visual literacy in the primary curriculum: A progression framework model",2017,"Children's Reading of Film and Visual Literacy in the Primary Curriculum: A Progression Framework Model",,,,"1","282",,,10.1007/978-3-319-58313-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034829538&doi=10.1007%2f978-3-319-58313-6&partnerID=40&md5=44ce38a5a95ae997ac2d2456562b72cf","This book draws on a longitudinal study which highlights the beneficial impact of film in the primary curriculum. It provides detailed accounts of both the reading process as understood within the field of literacy education, and of film theory as it relates to issues such as narration, genre and audience. The book focuses on a small cohort of children to explore how progression in reading film develops throughout a child's time in Key Stage 2; it also examines how the skills and understanding required to read film can support the reading of print, and vice versa, in an 'asset model' approach. Since children's progression in reading film is found to be not necessarily age-related, but rather built on a period of experience and opportunity to read and/or create moving image media, Bulman clearly illustrates the importance of the inclusion of film in the primary curriculum. The book provides an accessible study to a large audience of primary teachers and practitioners, and will be a valuable resource for students and researchers in the fields of education, English and media studies. © The Editor(s) (if applicable) and The Author(s) 2017.",Book,Scopus,2-s2.0-85034829538
"Morris J.E., Lummis G.W., Lock G.","Questioning art: Factors affecting students’ cognitive engagement in responding",2017,"Issues in Educational Research","27","3",,"493","511",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026838960&partnerID=40&md5=4bc08a013ecbee4db2fb294252193a9b","The Melbourne declaration on educational goals for young Australians (MCEETYA, 2008) cited confident and creative citizens as a key goal for Australian students. This goal aligns with global research on visual arts, specifically visual literacy. Being visually literate means decoding images, understanding the relationship between image and context, and recoding personal experiences into visual artworks. This learning is a core outcome of responding activities in secondary school visual arts. However, students will only develop visual literacy skills if they are engaged in their learning activities. Subsequently, this research sought to explore the cognitive engagement of students in the Year 11 visual arts course. The research utilised a mixed methods approach, which aimed to measure factors affecting student engagement. Quantitative measures of student engagement are rarely subject specific, and the creation of a quantitative visual arts diagnostic instrument gave information about students’ engagement that could inform teacher instruction. Factors affecting students’ engagement were determined through exploratory analysis of the diagnostic assessment instrument, with qualitative data used to explain the students’ quantitative responses. Three key factors of cognitive engagement were determined: intrinsic motivation, metacognition and autonomy. Developing students’ skills in these areas may improve their cognitive engagement in their visual arts education. © 2017, Western Australian Institute for Educational Research Inc. All rights reserved.",Article,Scopus,2-s2.0-85026838960
"Keller L., Keller R., Nering M.","Cross-Cultural Analysis of Image-Based Assessments: Emerging Research and Opportunities",2017,"Cross-Cultural Analysis of Image-Based Assessments: Emerging Research and Opportunities",,,,"1","166",,,10.4018/978-1-5225-2691-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028623859&doi=10.4018%2f978-1-5225-2691-9&partnerID=40&md5=834e9e012dfe8be570b801df5a75b6d4","Translation and communication between cultures can sometimes be a difficult process. Image-based assessments can offer a way for large populations to be tested on different subjects without having to create multiple testing programs. Cross-Cultural Analysis of Image-Based Assessments: Emerging Research and Opportunities is an innovative resource that offers insight into the application of visual assessments across a global and intercultural context. Highlighting applicable topics which include visual literacy, psychological assessments, assessment development, and equivalency measurements, this publication is ideal for psychologists, therapists, and researchers who would like to stay current on the most efficient way to test multi-cultural populations in various fields of knowledge. © 2018 by IGI Global. All rights reserved.",Book,Scopus,2-s2.0-85028623859
"Oliveira A.W., Cook K.","Student Visual Communication of Evolution",2017,"Research in Science Education","47","3",,"519","538",,,10.1007/s11165-016-9515-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970002333&doi=10.1007%2fs11165-016-9515-0&partnerID=40&md5=8e9c4d2d309b8e8aa185e697f32b8fc8","Despite growing recognition of the importance of visual representations to science education, previous research has given attention mostly to verbal modalities of evolution instruction. Visual aspects of classroom learning of evolution are yet to be systematically examined by science educators. The present study attends to this issue by exploring the types of evolutionary imagery deployed by secondary students. Our visual design analysis revealed that students resorted to two larger categories of images when visually communicating evolution: spatial metaphors (images that provided a spatio-temporal account of human evolution as a metaphorical “walk” across time and space) and symbolic representations (“icons of evolution” such as personal portraits of Charles Darwin that simply evoked evolutionary theory rather than metaphorically conveying its conceptual contents). It is argued that students need opportunities to collaboratively critique evolutionary imagery and to extend their visual perception of evolution beyond dominant images. © 2016, Springer Science+Business Media Dordrecht.",Article,Scopus,2-s2.0-84970002333
"Brugar K.A., Roberts K.L.","Seeing Is Believing: Promoting Visual Literacy in Elementary Social Studies",2017,"Journal of Teacher Education","68","3",,"262","279",,1,10.1177/0022487117696280,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018793481&doi=10.1177%2f0022487117696280&partnerID=40&md5=0165f98f35c3050ee93de6b74c4f6131","This study addresses the following questions: Does professional development (PD) designed to meet third-, fourth-, and fifth-grade teachers’ pedagogical and content needs influence how teachers teach and engage with graphical devices found in social studies texts? If so, what effect does that instruction and engagement have on students’ comprehension of those devices and social studies reading materials that contain them? We worked with teachers and students in a context-embedded PD series that emphasized literacy skills specific to standards that address accessing and sharing information (Common Core State Standards for English Language Arts) as social studies specialists (e.g., historians, geographers, economists; C3 Framework), with a particular focus on the graphical devices commonly found in social studies instructional materials (i.e., captioned images, maps, tables, timelines). Using teacher interviews, curricular materials, field notes, and student pre- and post-assessments as data sources, we explain the impact of this intervention on teaching and learning. © 2017, © 2017 American Association of Colleges for Teacher Education.",Article,Scopus,2-s2.0-85018793481
