PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Garcia Fernandez, Beatriz; Mateos Jimenez, Antonio								Comparison between the creation of models and visualization to enhance visual literacy in human anatomy in preservice teachers.								REVISTA EUREKA SOBRE ENSENANZA Y DIVULGACION DE LAS CIENCIAS				15	3					UNSP 3605	10.25267/Rev_Eureka_ensen_divulg_cienc.2018.v15.i3.3605					SEP 2018	2018	Visual literacy is essential in science teacher training, especially in human anatomy. The teaching and learning processes of human anatomy are based on the use of graphics, and a spacial perception of the human body is required. Nevertheless, it has been little addressed, and there are no works of assessment of methodologies to improve it in Primary teacher training. This work has been carried out with 194 preservice teachers, and besides an initial diagnosis of the visual literacy skills in human anatomy, the impact of visualization and modelization of the human body to improve it are contrasted. The production of a cross section human diagram has been used as pre and post test. The results show limited skills in visual literacy related to the production of this type of sections, and a higher impact of producing scaled models on learning.									0	0	0	0	0	0			1697-011X			WOS:000439905100015		
J	Hristov, Nickolay; Strohecker, Carol; Allen, Louise; Merson, Martha								Designing for Broad Understanding of Science Insights from Practice								INTEGRATIVE AND COMPARATIVE BIOLOGY				58	1			113	126		10.1093/icb/icy033					JUL 2018	2018	With the acceleration and increasing complexity of macro-scale problems such as climate change, the need for scientists to ensure that their work is understood has become urgent. As citizens and recipients of public funds for research, scientists have an obligation to communicate their findings in ways many people can understand. However, developing translations that are broadly accessible without being "dumbed down" can be challenging. Fortunately, tenets of visual literacy, combined with narrative methods, can help to convey scientific knowledge with fidelity, while sustaining viewers' interest. Here we outline strategies for such translating, with an emphasis on visual approaches. Among the examples is an innovative, National Science Foundation-funded professional development initiative in which National Park rangers use scientists' imagery to create compelling explanations for the visiting public. Thoughtful visualizations based on interpretive images, motion pictures, 3D animations and augmented, immersive experiences complement the impact of the natural resource and enhance the role of the park ranger. The visualizations become scaffolds for participatory exchanges in which the ranger transcends the traditional roles of information-holder and presenter, to facilitate provocative conversations that provide members of the public with enjoyable experiences and well-founded bases for reflection and ultimately understanding. The process of generating the supporting visualizations benefits from partnerships with design professionals, who develop opportunities for engaging the public by translating important scientific findings and messages in compelling and memorable ways.					Symposium on Science in the Public Eye - Leveraging Partnerships at the Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB)Symposium on Science in the Public Eye - Leveraging Partnerships at the Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB)	JAN 03-07, 2018JAN 03-07, 2018	Soc Integrat & Comparat BiolSoc Integrat & Comparat Biol	San Francisco, CASan Francisco, CA	0	0	0	0	0	0			1540-7063	1557-7023		WOS:000441760800011	29873715	
J	Meza Castro, Marvin David								The source of visual information and visual communication: Image. Notes on information and library science								E-CIENCIAS DE LA INFORMACION				8	2						10.15517/eci.v8i2.29956					JUL-DEC 2018	2018	This essay provides a definition about image as a source of information and communication, based on the idea that images (mainly digital images) have become essential in the process of communication and information transmission in globalized societies. Consequently, the image builds a visual culture developed from the signs and elements transmitted by a visual language. This essay is aimed at identifying relationships between the images, as source of information and communication, with library and information science. Moreover, it emphasizes methods and techniques of information retrieval and content-based analysis, and suggestions for the process of human and automatic indexing of visual information sources. Both, Content Based Image Retrieval (CBIR) technology, as well the importance of Visual Literacy for the information and library science are addressed. The essay concludes that the role of the image today, as an element of communication and transmission of information, must be reconsidered and confronted by the information and library science.									0	0	0	0	0	0			1659-4142			WOS:000437560200001		
J	Weinraub, Jennifer Yao								Harder to Find Than Nemo: The Elusive Image Citation Standard								COLLEGE & RESEARCH LIBRARIES				79	4			480	498		10.5860/crl.79.4.480					MAY 2018	2018	New image citation standards need to be developed for college and graduate students to meet visual literacy standards. The MLA Handbook, 8th edition, and Chicago Manual of Style, 16th edition, do not adequately clarify how to caption, attribute, and cite images. Other image captioning and citing resources are available, but they refer to the MLA and Chicago manuals. Image captions from scholarly journals vary widely and cannot be used as examples for students to follow. Recommendations are also provided for future editions of the MLA Handbook and Chicago Manual of Style.									0	0	0	0	0	0			0010-0870	2150-6701		WOS:000434142200003		
J	Mills, Kathy A.; Unsworth, Len					Unsworth, Len/0000-0002-4723-8169			iPad Animations: Powerful Multimodal Practices for Adolescent Literacy and Emotional Language								JOURNAL OF ADOLESCENT & ADULT LITERACY				61	6			609	620		10.1002/jaal.717					MAY-JUN 2018	2018	In an age of mobile technologies, digital animation creation can be an important tool for teaching adolescents how to communicate emotions multimodally. This article draws on appraisal theory and original research to illustrate the power of digital animation for multimodal literacy learning. Students from a culturally diverse cohort were taught how to interpret emotions in animated films and produced 2-D cartoon animations using drawings with an iPad application and stylus. The findings show that impassioned multimodal communication is enhanced by knowledge of how feelings produce different facial expressions, gestures, body movements, and physiological changes in characters that are often exaggerated to powerful effect in animations. This includes an ability to invoke different intensities of emotions. The research has significant implications for engaging adolescents in the multimodal communication of emotions and feelings through vocabulary, images, and body language.									0	0	0	0	0	0			1081-3004	1936-2706		WOS:000430810300003		
J	Pantaleo, Sylvia								Learning About and Through Picturebook Artwork								READING TEACHER				71	5			557	567		10.1002/trtr.1653					MAR-APR 2018	2018	Picturebooks are highly sophisticated multimodal ensembles. Understanding the semiotic resources and affordances of the visual mode to represent and communicate meaning is fundamental to appreciating the artistry and complexity of picturebooks. A recent classroom-based research project with grade 2 students featured explicit instruction on particular elements of visual art and design to develop and enhance students' visual competences and aesthetic appreciation and understanding of picturebooks. In addition to being provided with multiple opportunities to talk and write about picturebook artwork, the students created their own multimodal print texts. The students' composition of this multimodal work required them to intentionally apply the focus elements of visual art and design featured during the study. Examples of students' writing, talking, and artwork reveal how they remade meaning across modes as they described, explained, interpreted, and analyzed visual images in both the picturebooks and their own multimodal texts.									0	0	0	0	0	0			0034-0561	1936-2714		WOS:000426294500006		
J	Kassinis, George; Panayiotou, Alexia								Visuality as Greenwashing: The Case of BP and Deepwater Horizon								ORGANIZATION & ENVIRONMENT				31	1			25	47		10.1177/1086026616687014					MAR 2018	2018	We use a visual semiotic approach to explore how BP utilized the power of the visual after the 2010 Deepwater Horizon disaster. Through the careful construction and use of images on its corporate website, BP narrated a visual story that helped the company construct a logic of representation when its logic of practice became problematic and heavily scrutinized. We argue that the BP case has wider applicability in understanding how companies deploy the visual to create a reality that averts the limelight from risky practices, aid their post-disaster image restoration efforts, or even enhance greenwashing practices when decoupling is exposed. The study adds to a growing literature that raises the importance of visual literacy for both management practitioners and researchers of organizations. It also adds to the literature on greenwashing by showcasing the role of visual imagery in shaping green communication.									0	0	0	0	0	0			1086-0266	1552-7417		WOS:000425035700002		
J	Errazuriz, Luis; Portales, Carlos								The Visual Differences of the Classroom Walls in Chilean Primary Schools								INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION				37	1	SI		88	100		10.1111/jade.12130					FEB 2018	2018	In a world increasingly saturated with images, the visual aesthetic dimension should play a more important role in the educational processes. Furthermore, classroom walls could be considered valuable resources to introduce visual literacy among children and teachers. However, Chilean educational policies tend not to pay much attention to visual culture in the classroom. Hence, the selection of visual images displayed on classroom walls as well as the way they are exhibited should be more carefully thought through. Under the assumption that visual resources are pedagogically significant elements, the present investigation examined the images displayed on the classroom walls of the first year of primary schools in the district of Penalolen in Santiago, Chile. We present a comparative analysis of visual environments found in different administrative types of schools (municipal, subsidised and fully private schools), using a qualitative method, as well as a quantification of the sample schools. The analysis shows that inequality between types of schools reproduces in images, favouring private schools in aspects such as the degree of planning of the visual environment, student participation in terms of production, the aesthetic quality of the images and its iconographic variety.									0	0	0	0	0	0			1476-8062	1476-8070		WOS:000424818300009		
J	Carlito, M. Delores								Supporting multimodal literacy in library instruction								REFERENCE SERVICES REVIEW				46	2	SI		164	177		10.1108/RSR-02-2018-0015					2018	2018	Purpose - Students interact with information in many ways throughout the day, code switching between modes depending on their needs. Educators are finally realizing that composing in more than one mode is not only important, but also necessary. The purpose of this study is to examine the role of the academic library, the ACRL Framework and information literacy instruction in creating ethical, inspired users.Design/methodology/approach - This paper looks at previously published work on multimodal discourse. how libraries have supported modes in the past and how the ACRL Information Literacy Framework highlights the need to teach students and faculty how to compose in many modes.Findings - Librarians are already well-versed in many literacies, including information, visual and media. They are familiar with multimodal tools and the ethical issues related to the use of images, videos and sound files. While professors are proficient in subject matter, librarians are experts in the paradigm shift from print to multiple modes; therefore, by teaching faculty and students to locate, evaluate, use ethically and cite various modes, librarians become the primary resource on campus for creating multimodal artifacts. The strata used by Kress and Van Leeuwen, coupled with the ACRL Framework, are a model for future instructional design.Originality/value - While much has been written on visual literacy, little is written on library support of multimodal discourse or combining several modes in one argument. This paper is alone in reviewing the past support of multimodal literacy in libraries and gives some sample activities for use in the academic library.									0	0	0	0	0	0			0090-7324	2054-1716		WOS:000442236000002		
J	Stoerger, Sharon								Writing without words: Designing for a visual learning experience								EDUCATION FOR INFORMATION				34	1			7	13		10.3233/EFI-189002					2018	2018	Due to the large number of students, instructors teaching high enrollment courses often rely on traditional assignments such as scantron exams and research papers. While these types of assignments are functional and satisfy a purpose, they are typically not meaningful or pleasurable for students. In an introductory information technology course, the final paper was redesigned to focus on visuals rather than on written words. The redesigned visual learning experience - a digital infographic - gave students the opportunity to rely primarily on images rather than text to communicate their message about an emerging technology to an external audience. Throughout this creation process, where students had to analyze and synthesize complex information, they gained new understanding about their topic as they were thinking and making. Further, this experience had personal significance to the students - one that gave them a sense of pride and accomplishment. The students also recognized that their unique digital artifact had a life beyond the classroom, and they wanted to share their creation with others.									0	0	0	0	0	0			0167-8329	1875-8649		WOS:000443282600003		
